Rank,Major_code,Major,Major_category,Total,Men,Women,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th
61,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,25463,20957,16620,12537,5346,9131,977,0.055520827,40000,20000,90000
62,3603,MOLECULAR BIOLOGY,Biology & Life Science,18300,4419,371,11581,9441,4590,6183,1067,0.084361164,40000,29000,47000
63,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,17947,7043,1761,14826,13364,3366,10637,1150,0.071982974,40000,30000,51000
64,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,14240,7426,10874,12323,11119,2196,9093,649,0.050030836,40000,25000,50000
65,1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,10399,1761,1874,8884,7589,2031,5888,178,0.019642463,40000,30000,50000
66,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,124,0,7502,7001,1240,5825,416,0.05253852,40000,30400,56000
67,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,894,542,4186,4175,247,3607,250,0.056357078,40000,27000,52000
68,3605,GENETICS,Biology & Life Science,3635,1075,1939,2463,1787,847,1487,87,0.034117647,40000,34000,45000
69,5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,3283,1499,1784,2727,2183,907,1530,215,0.073079538,40000,30000,54000
70,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,3079,8697,14854,2787,2103,839,1274,138,0.047179487,40000,30000,42000
71,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,3014,132238,102352,2343,1644,1095,1409,286,0.108786611,40000,32000,53000
72,1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,2439,10624,15270,2174,1819,620,1528,182,0.077249576,40000,27000,54000
73,5000,PHYSICAL SCIENCES,Physical Sciences,1436,10285,7662,1146,768,437,653,42,0.035353535,40000,30000,55000
74,3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,124,1756,1323,0,111,0,111,0,NA,40000,40000,40000
75,5003,CHEMISTRY,Physical Sciences,66530,32923,33607,48535,39509,15066,29910,2769,0.0539724,39000,30000,49900
76,5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,2435,1869,566,2107,2057,287,1752,64,0.029479503,38400,22500,45000
77,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,329927,6383,8849,276234,251540,50357,199897,21502,0.072218341,38000,29000,50000
78,6206,MARKETING AND MARKETING RESEARCH,Business,205211,11404,7076,178862,156668,35829,127230,11663,0.061215064,38000,30000,50000
79,5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,182621,93880,88741,133454,117709,43711,83236,15022,0.101174601,38000,28000,50000
80,5504,GEOGRAPHY,Social Science,18480,173809,156118,14057,11367,5651,8628,1799,0.113458628,38000,30000,50000
81,3606,MICROBIOLOGY,Biology & Life Science,15232,78857,126354,9685,7453,3379,5080,693,0.066775872,38000,29600,50000
82,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,6509,6289,1030,4936,721,0.099723375,37500,25000,50000
83,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,25678,20643,9948,13785,2249,0.080531385,37400,29000,50000
84,3602,BOTANY,Biology & Life Science,1329,626,703,1010,946,169,740,0,0,37000,26000,40000
85,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,6144,5495,1447,4369,1100,0.151849807,36400,27000,49000
86,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972,5813,5159,8296,6966,2913,5008,677,0.075448568,36200,28000,47000
87,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,24497,4435,9093,20760,18550,3767,15446,1315,0.059569649,36000,28000,45000
88,3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,13528,809,1169,9762,7851,3595,5370,757,0.071965016,36000,29200,46000
89,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,413,973,10076,7514,4145,5868,893,0.08141125,36000,23000,42000
90,5401,PUBLIC ADMINISTRATION,Law & Public Policy,5629,2947,2682,4158,4148,847,2952,789,0.1594906,36000,23000,60000
91,5005,GEOSCIENCES,Physical Sciences,1978,1589,11797,1441,1264,354,1011,36,0.024373731,36000,21000,41000
92,5206,SOCIAL PSYCHOLOGY,Psychology & Social Work,1386,6184,18313,1080,828,433,529,33,0.029649596,36000,34000,45000
93,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,20859,16987,7071,10916,1779,0.078584681,35600,25000,40200
94,1901,COMMUNICATIONS,Communications & Journalism,213996,476,209,179633,147335,49889,116251,14602,0.075176976,35000,27000,45000
95,5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,152824,3156,451,125393,109970,32242,88548,11268,0.082452199,35000,26000,45000
96,6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,103480,8617,5156,83483,67448,24387,52243,8947,0.096797577,35000,25000,45000
97,1902,JOURNALISM,Communications & Journalism,72619,8739,22456,61022,51411,15902,39524,4535,0.069176442,35000,26000,42900
98,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,62052,70619,143377,46138,37850,13133,28966,2727,0.055806815,35000,24000,50000
99,1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,53162,23736,48883,45326,38815,10948,30932,3305,0.067960766,35000,27000,47000
100,1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,31195,12862,40300,24629,18755,9541,13109,1668,0.063429289,35000,24500,44000
101,2310,SPECIAL NEEDS EDUCATION,Education,28739,11431,6604,24639,21584,5153,16642,1067,0.041507819,35000,32000,42000
102,3608,PHYSIOLOGY,Biology & Life Science,22060,2682,26057,14643,10732,6541,7588,1088,0.0691628,35000,20000,50000
103,5503,CRIMINOLOGY,Social Science,19879,8422,13638,16181,13616,4543,10548,1743,0.097243919,35000,25000,45000
104,4002,NUTRITION SCIENCES,Health,18909,4944,8719,13217,9601,6648,6625,975,0.068700676,35000,26000,45000
105,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,2817,9479,15419,13534,3299,10982,1518,0.089626262,35000,27000,42000
106,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,2563,16346,14779,11981,4690,9085,2006,0.119511469,35000,25000,45000
107,5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,15150,2744,1299,12266,11688,2633,9170,962,0.072724524,35000,22000,52000
108,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,13773,27015,35037,11797,10722,2613,6954,842,0.066619195,35000,25000,42000
109,3611,NEUROSCIENCE,Biology & Life Science,13663,80231,72593,9087,8027,3078,5482,463,0.048481675,35000,30000,44000
110,4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,12296,10031,9848,9821,8032,3173,6234,749,0.070860927,35000,25000,44000
111,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043,13257,1893,3431,2659,1309,2161,78,0.022228555,35000,28000,50000
112,1302,FORESTRY,Agriculture & Natural Resources,3607,32041,71439,3007,2473,891,1763,322,0.096725743,35000,28600,48000
113,1106,SOIL SCIENCE,Agriculture & Natural Resources,685,4266,13843,613,488,185,383,0,0,35000,18500,44000
114,2300,GENERAL EDUCATION,Education,143718,26893,116825,118241,98408,29558,73531,7195,0.057359929,34000,26000,41000
115,6402,HISTORY,Humanities & Liberal Arts,141951,280,524,105646,84681,40657,59218,11176,0.095666912,34000,25000,47000
116,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,48246,3872,10365,38315,29340,14569,20056,3132,0.075566386,34000,25000,45000
117,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,24650,9950,10248,18824,14354,7978,8801,1718,0.083633531,34000,24000,45000
118,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,20198,12835,35411,17700,14002,5168,8871,1012,0.054082941,34000,23050,42000
119,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,8575,16075,14512,10099,6377,7460,1833,0.112144387,34000,21000,45000
120,2305,MATHEMATICS TEACHER EDUCATION,Education,14237,4103,15632,13115,11259,2273,8073,216,0.016202835,34000,30000,40000
121,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,804,78253,63698,703,733,0,504,0,0,34000,29000,35000
122,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,4747,5959,7052,5029,3891,3236,529,0.069779712,33500,23000,40000
123,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,5521,7219,7767,6076,2568,4542,483,0.058545455,33500,23000,48000
124,3600,BIOLOGY,Biology & Life Science,280709,111762,168947,182295,144512,72371,100336,13874,0.070724732,33400,24000,45000
125,5507,SOCIOLOGY,Social Science,115433,24704,28120,92721,73475,29639,56561,8608,0.084951001,33000,25000,44000
126,1903,MASS MEDIA,Communications & Journalism,52824,3741,26730,44679,35769,13078,27521,4410,0.089836827,33000,25000,45000
127,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,3654,6496,37861,30020,12346,21735,2409,0.059821207,33000,24000,41000
128,6211,HOSPITALITY MANAGEMENT,Business,43647,4416,12185,36728,32160,7494,23106,2393,0.061169193,33000,25000,42000
129,2313,LANGUAGE AND DRAMA EDUCATION,Education,30471,3878,5276,26033,21419,7239,15266,1379,0.050306435,33000,24000,40000
130,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,16601,2337,7579,11165,8462,4831,5821,1302,0.10443571,33000,25000,40000
131,2399,MISCELLANEOUS EDUCATION,Education,10150,32510,82923,8691,7264,2202,5816,547,0.059211951,33000,30000,45000
132,4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,9916,13487,35004,7444,5843,2834,4714,757,0.092305816,33000,24000,40000
133,3604,ECOLOGY,Biology & Life Science,9154,15204,28443,7585,5603,2741,3912,437,0.054475193,33000,23000,42000
134,2309,SECONDARY TEACHER EDUCATION,Education,17125,6820,10305,15116,12520,3782,9193,833,0.05222898,32500,25000,38000
135,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,7574,26025,24406,18166,11088,12809,2183,0.082101621,32400,25000,45000
136,4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,54814,31967,22847,40157,31086,16659,21816,4267,0.096051684,32200,23000,47100
137,2314,ART AND MUSIC EDUCATION,Education,34181,10732,23449,30007,23018,9209,16537,1206,0.038637747,32100,25000,40000
138,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,194673,4897,2519,149180,114386,57825,81180,14345,0.08772359,32000,23000,41000
139,2304,ELEMENTARY EDUCATION,Education,170862,13029,157833,149339,123177,37965,86540,7297,0.046585715,32000,23400,38000
140,4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,125074,2049,4434,103078,77428,38515,57978,5593,0.051467273,32000,24000,43000
141,3401,LIBERAL ARTS,Humanities & Liberal Arts,71369,58227,136446,54844,43401,19187,33438,4657,0.078267592,32000,25000,42000
142,6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,38761,22339,49030,31433,22457,12818,15740,3718,0.10577224,32000,22000,42000
143,5500,GENERAL SOCIAL SCIENCES,Social Science,12920,62181,62893,9602,7700,3396,5679,1108,0.103454715,32000,27000,50000
144,1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,7416,5079,7841,6594,5798,1246,4522,314,0.045454545,32000,22900,40000
145,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,6483,22357,16404,5362,4764,1227,3247,266,0.047263682,32000,28000,39000
146,5200,PSYCHOLOGY,Psychology & Social Work,393735,86648,307087,307933,233205,115172,174438,28169,0.083810867,31500,24000,41000
147,6002,MUSIC,Arts,60633,15670,12543,47662,29010,24943,21425,3918,0.075959674,31000,22300,42000
148,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,28213,29909,30724,23794,19420,7230,13651,1920,0.074667496,31000,24000,40000
149,6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,21030,3240,17790,17579,13262,6140,9965,1128,0.060298284,31000,23000,40000
150,6000,FINE ARTS,Arts,74440,24786,49654,59679,42764,23656,31877,5486,0.084186296,30500,21000,41000
151,2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,58001,5347,16226,46624,36747,15872,26906,3355,0.067128194,30000,22900,40000
152,5404,SOCIAL WORK,Psychology & Social Work,53552,2734,11709,45038,34941,13481,27588,3329,0.06882792,30000,25000,35000
153,1103,ANIMAL SCIENCES,Agriculture & Natural Resources,21573,5166,52835,17112,14479,5353,10824,917,0.050862499,30000,22000,40000
154,6003,VISUAL AND PERFORMING ARTS,Arts,16250,2013,4639,12870,8447,6253,6322,1465,0.102197419,30000,22000,40000
155,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,14443,1936,7692,13076,11734,2214,8457,496,0.03654583,30000,24000,37000
156,5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,9628,885,8489,7653,5201,3221,3838,419,0.05190783,30000,20800,40000
157,5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,9374,5137,48415,8294,6455,2405,5061,326,0.037819026,30000,24000,35000
158,3402,HUMANITIES,Humanities & Liberal Arts,6652,4133,12117,5052,3565,2225,2661,372,0.068584071,30000,20000,49000
159,4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,30207,404,1084,24202,18079,8767,13944,1617,0.062628297,29000,22000,38000
160,6007,STUDIO ARTS,Arts,16977,4364,6146,13908,10451,5673,7413,1368,0.089552239,29000,19200,38300
161,2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,10510,18616,11591,8650,7662,2064,5949,510,0.055676856,29000,20000,36000
162,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,1488,4754,12223,1290,1098,335,936,82,0.059766764,29000,23000,42100
163,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,38844,1167,36422,29633,20147,14515,13232,3395,0.102791571,28000,20000,38000
164,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,11376,27468,29763,19975,13862,14460,1487,0.047584,28000,20000,40000
165,2307,EARLY CHILDHOOD EDUCATION,Education,37589,1225,37054,32551,27569,7001,20748,1360,0.040104981,28000,21000,35000
166,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,11204,3472,7732,7052,5197,3685,3214,846,0.107115726,27500,22900,38000
167,6001,DRAMA AND THEATER ARTS,Arts,43249,7022,11931,36165,25147,15994,16891,3040,0.07754113,27000,19200,35000
168,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,18953,14440,28809,15053,10121,6612,7832,1340,0.081742207,27000,20000,35000
169,3609,ZOOLOGY,Biology & Life Science,8409,3050,5359,6259,5043,2190,3602,304,0.04632028,26000,20000,39000
170,5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,2854,522,2332,2125,1848,572,1211,148,0.065112187,25000,24000,34000
171,5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,2838,568,2270,2101,1724,648,1293,368,0.149048198,25000,25000,40000
172,5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,4626,931,3695,3777,3154,965,2738,214,0.053620646,23400,19200,26000
173,3501,LIBRARY SCIENCE,Education,1098,134,964,742,593,237,410,87,0.104945718,22000,20000,22000
